Region,Crop Name (English),Crop Name (Nepali),Variety/Type,Varieties,Spacing (cm),Seed Rate,Intercrop,Climate Adaptation/Resilience,Planting Months
High Hill,Cauliflower,काउली,General,"Kathmandu Local, Khumal Chapu, Snowball 16",60x45,30g,"Coriander, Garlic","Wastewater irrigation, DBM water traps",Chaitra-Jestha / Ashoj-Kartik
High Hill,Cabbage,बन्दकोपी,General,"Super Green, Green Coronet, Zenith, T621",60x45,25g,"Coriander, Garlic",Disease resistant,Chaitra-Jestha / Ashoj-Mangsir
High Hill,Broccoli,ब्रोकाउली,General,"Everest Green, Premium Crop, Green Pea",60x45,10g,"Coriander, Garlic",Temp control,Chaitra-Jestha / Ashoj-Kartik
High Hill,Tomato,गोलभेडा,Plastic House,"Srijana, Gaurav 555, Dalila, Seres",75x45,5-7g,"Pea, Coriander, Garlic","Drip irrigation, Tuta/fruit borer traps",Year-round
High Hill,Tomato,गोलभेडा,Open Field,"Srijana, Gaurav 555, Dalila, Surya 111",75x45,5-7g,"Pea, Coriander",Pest traps,Chaitra-Shrawan
High Hill,Cucumber,काँक्रा,General,"Bhaktapur Local, Dynasty, Malini",150x100,125g,"Garlic, Onion","Tunnel method, Fruit fly/Red beetle traps",Baisakh-Shrawan
High Hill,Bitter Gourd,करेला,General,"Palee, NS 454, Hira, Maya",150x100,100g,"Garlic, Onion",Cow urine for aphids,Baisakh-Bhadra
High Hill,Bean,सिमी,General,"Chaumase, LB 37, Long Green, Rajma",120x50,500g,"Pea, Maize",Virus control/Net nursery,Baisakh-Bhadra
High Hill,Capsicum,भेडे खुर्सानी,General,"California Wonder, NS 632",60x45,30g,Coriander,Virus control/Net nursery,Chaitra-Shrawan / Ashoj-Kartik
High Hill,Mustard Greens,रायो साग,General,"Khumal Chaudapat, Marfa, Manakamana",45x30,10g,"Coriander, Garlic",Succession planting,Year-round
High Hill,Okra,भिण्डी,General,"Arka Anamika, Parbati",50x30,750g,"Maize, Cowpea",Cotton aphid/Borer traps,Baisakh-Bhadra
High Hill,Radish,मूला,General,"Minowase, All Season White, Tokinashi",20x20,500g,"Coriander, Garlic",Spacing and thinning,Year-round
High Hill,Chili,खुर्सानी,General,"Jwala, NS 1701, Karma 747",50x30,30g,Coriander,Virus control/Net nursery,Chaitra-Shrawan / Ashoj-Kartik
High Hill,Potato,आलु,General,"Kufri Jyoti, Janakdev, Khumal Laxmi",70x25,100kg,"Radish, Carrot",Deep plowing for red ants,Ashoj-Magh
High Hill,Foxtail Millet,कागुनो,Traditional,"Bariyo, Rato Kaguno",30x10,3kg,Bean,Drought tolerant,Baisakh-Shrawan
High Hill,Proso Millet,चिनो,Traditional,Dudhe Chino,25x10,500g,None,Marginal land use,Baisakh-Shrawan
High Hill,Finger Millet,कोदो,Traditional,"Okhle 1, Dalle 1, Kabre 1",20x10,500g,"Maize, Bean",Low irrigation requirement,Baisakh-Shrawan
High Hill,Barley,उवा,Traditional,Solu Uwa,20x5,1.5kg,None,Cold tolerant,Kartik-Chaitra
High Hill,Buckwheat,फापर,Traditional,"Mithe 1, Tite 1 & 2",25x5,3.5kg,None,Quick growing,Jestha-Shrawan / Kartik-Magh
Mid Hill,Cauliflower,काउली,Early,"Silver Cup 60, Nepa 60, NS 60",45x45,30g,"Coriander, Bean",Yellow sticky/DBM traps,Chaitra-Baisakh
Mid Hill,Cauliflower,काउली,Seasonal,"Pro Crown, Kathmandu Local",60x45,20g,"Coriander, Bean",Wastewater irrigation,Ashar-Ashoj
Mid Hill,Cauliflower,काउली,Late,"NS 90, NS 106, Madhuri",60x45,15g,"Coriander, Bean",IPM methods,Ashoj-Poush
Mid Hill,Cabbage,बन्दा,Early,"Super Coronet, Copenhagen Market",60x45,25g,"Coriander, Bean",Proper spacing,Chaitra-Baisakh
Mid Hill,Cabbage,बन्दा,Seasonal,"Green Coronet, T 621, Zenith",60x45,25g,"Coriander, Bean",IPM methods,Ashar-Ashoj
