Crop,Organic Manure (MT/ha),N (kg/ha),P (kg/ha),K (kg/ha),Urea (kg/ha),DAP (kg/ha),MOP (kg/ha)
Barley,6,60,30,30,104.9,65.2,50.00
Buckwheat,6,60,30,30,39.7,65.2,33.33
Millet,6,50,40,20,91.68,86.9,33.33
Lentil,6,50,40,20,70.0,86.9,33.33
Sugarcane (Main crop),10,150,60,40,275.1,130.5,66.7
Sugarcane (Ratoon crop),10,200,60,40,383.8,130.5,66.7
Plain Jute,6,60,30,60,104.9,65.2,100
Tossa Jute,6,40,30,20,69.9,65.2,33.3
Potato,20,100,100,60,132.3,217.4,100
Mustard/Rapeseed,6,60,40,20,96.4,86.9,33.3
Sunflower,6,60,40,20,96.4,86.9,33.3
Sesame/Jhuse Sesame,6,40,30,20,61.44,65.22,33.3
Peanut,6,40,60,20,9.5,86.9,33.3
Ginger,24,30,30,60,39.7,65.22,100.0
Cotton,10,36,23,60,56.52,50.0,100.0
Lentil/Mung,4-6,10,20,20,26.47,43.48,33.33
Pigeon Pea,4-6,10,40,30,9.45,86.96,50.0
Chickpea,4-6,10,40,20,9.45,86.96,33.33
Pea,4-6,15,40,10,-,86.96,16.67
Soybean,4-6,10,40,30,-,86.96,50.0
Tomato - Terai Irrigated,-,300,140,140,533.1,304.3,300.0
Tomato - Terai Non-irrigated,-,150,70,70,266.5,152.2,150.0
Tomato - Hill Irrigated,-,200,80,120,366.7,173.9,200.0
Tomato - Hill Non-irrigated,-,100,40,60,183.4,86.96,100.0
