Soil pH,Hill Sandy,Hill Loam,Hill Clay,Terai Sandy,Terai Loam,Terai Clay
6.4,15,20,24,8,14,22
6.3,29,40,48,15,24,44
6.2,43,60,72,23,34,64
6.1,58,78,98,30,44,86
6.0,71,92,120,38,52,106
5.9,85,110,146,45,62,128
5.8,97,128,166,52,72,146
5.7,108,142,188,58,82,166
5.6,119,158,208,64,90,184
5.5,130,170,230,70,100,200
5.4,140,188,252,76,110,220
5.3,150,204,274,81,118,238
5.2,160,218,294,86,126,254
5.1,169,228,314,91,136,270
5.0,176,240,334,96,142,286
4.9,184,252,354,101,150,302
4.8,191,262,374,106,158,316
4.7,199,272,390,111,166,330
4.6,205,280,406,115,174,340
4.5,210,290,420,120,180,350
