Crop,Variety,SN,High_Hill_Sowing,Mid_Hill_Sowing,Terai_Bensi_Sowing,Compost_kg_ropani,N_kg_ropani,P_kg_ropani,K_kg_ropani,Plant_Spacing_cm,Row_Spacing_cm,Seed_Seedling_Rate,Maturity_Days,Yield_kg_ropani,Remarks
Potato,Kufri Jyoti,1,Falgun–Chaitra,Asoj–Kartik,Kartik–Mangsir,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Mid-hill high production
Potato,Janak Dev,2,Baisakh–Jestha,Falgun–Chaitra,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,High altitude variety
Potato,Khumbu,3,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,None
Potato,IPY,4,Not Recommended,Falgun–Chaitra,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Tolerant to late blight
Potato,Cardinal,5,Not Recommended,Not Recommended,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,90–100,2000–2500,Early ripening; red skin
Sweet Potato,Local,6,Baisakh–Jestha,Falgun–Chaitra,Bhadra–Asoj,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,None
Sweet Potato,H-41,7,Not Recommended,Not Recommended,Falgun–Chaitra,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,High production; orange flesh
Yam,Local,8,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,60,100,120 kg,Not Specified,1500–2000,Use seed tubers
Taro,Local,9,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,45,60,200 kg,Not Specified,1500–2000,Use seed tubers
Elephant Foot Yam,Local,10,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,60,100,100 kg,Not Specified,2000–3000,Use seed tubers
Turmeric,Local,11,Baisakh–Jestha,Chaitra–Baisakh,Falgun–Chaitra,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,Use seed rhizomes
Turmeric,Bandi,12,Not Recommended,Baisakh–Jestha,Chaitra–Baisakh,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,None
