क्षेत्र,बालीको नाम (अंग्रेजी),बालीको नाम (नेपाली),किसिम/प्रकार,जातहरू,दूरी (से.मी.),बीउ दर,अन्तरबाली,जलवायु अनुकूलन/उत्थानशीलता,रोप्ने महिना
उच्च पहाड,Cauliflower,काउली,सामान्य,"काठमाडौं स्थानीय, खुमल टापु, स्नोबल १६",६०x४५,३० ग्राम,"धनियाँ, लसुन","फोहोरमैला पानी सिँचाइ, डीबीएम पासो",चैत-जेठ / असोज-कात्तिक
उच्च पहाड,Cabbage,बन्दकोपी,सामान्य,"सुपर ग्रीन, ग्रीन कोरोनेट, जेनिथ, टी-६२१",६०x४५,२५ ग्राम,"धनियाँ, लसुन",रोग प्रतिरोधी,चैत-जेठ / असोज-मंसिर
उच्च पहाड,Broccoli,ब्रोकाउली,सामान्य,"एभरेष्ट ग्रीन, प्रिमियम क्रप, ग्रीन पी",६०x४५,१० ग्राम,"धनियाँ, लसुन",तापक्रम नियन्त्रण,चैत-जेठ / असोज-कात्तिक
उच्च पहाड,Tomato,गोलभेडा,प्लास्टिक घर,"सृजना, गौरव ५५५, डलिला, सेरेस",७५x४५,५-७ ग्राम,"केराउ, धनियाँ, लसुन","थोपा सिँचाइ, टुटा/फल कुहाउने पासो",बाह्रै महिना
उच्च पहाड,Tomato,गोलभेडा,खुल्ला चौर,"सृजना, गौरव ५५५, डलिला, सूर्य १११",७५x४५,५-७ ग्राम,"केराउ, धनियाँ",कीराको पासो,चैत-साउन
उच्च पहाड,Cucumber,काँक्रा,सामान्य,"भक्तपुर स्थानीय, डाइनास्टी, मालिनी",१५०x१००,१२५ ग्राम,"लसुन, प्याज","टनेल प्रविधि, फल कुहाउने झिँगा/रातो खपटे पासो",वैशाख-साउन
उच्च पहाड,Bitter Gourd,करेला,सामान्य,"पाली, एनएस ४५४, हीरा, माया",१५०x१००,१०० ग्राम,"लसुन, प्याज",लाहीको लागि गहुँत प्रयोग,वैशाख-भदौ
उच्च पहाड,Bean,सिमी,सामान्य,"चौमासे, एलबी ३७, लङ ग्रीन, राजमा",१२०x५०,५०० ग्राम,"केराउ, मकै",भाइरस नियन्त्रण/नेट नर्सरी,वैशाख-भदौ
उच्च पहाड,Capsicum,भेडे खुर्सानी,सामान्य,"क्यालिफोर्निया वन्डर, एनएस ६३२",६०x४५,३० ग्राम,धनियाँ,भाइरस नियन्त्रण/नेट नर्सरी,चैत-साउन / असोज-कात्तिक
उच्च पहाड,Mustard Greens,रायो साग,सामान्य,"खुमल चौडापाते, मार्फा, मनकामना",४५x३०,१० ग्राम,"धनियाँ, लसुन",निरन्तर रोपण,बाह्रै महिना
उच्च पहाड,Okra,भिण्डी,सामान्य,"अर्का अनामिका, पार्वती",५०x३०,७५० ग्राम,"मकै, बोडी",कपासको लाही/गवारो पासो,वैशाख-भदौ
उच्च पहाड,Radish,मूला,सामान्य,"मिन्वासे, अल सिजन ह्वाइट, टोकिनासी",२०x२०,५०० ग्राम,"धनियाँ, लसुन",दूरी व्यवस्थापन र बेर्ना पातलो गर्ने,बाह्रै महिना
उच्च पहाड,Chili,खुर्सानी,सामान्य,"ज्वाला, एनएस १७०१, कर्मा ७४७",५०x३०,३० ग्राम,धनियाँ,भाइरस नियन्त्रण/नेट नर्सरी,चैत-साउन / असोज-कात्तिक
उच्च पहाड,Potato,आलु,सामान्य,"कुफ्री ज्योति, जनकदेव, खुमल लक्ष्मी",७०x२५,१०० केजी,"मूला, गाँजर",रातो कमिलाको लागि गहिरो खनजोत,असोज-माघ
उच्च पहाड,Foxtail Millet,कागुनो,परम्परागत,"बरियो, रातो कागुनो",३०x१०,३ केजी,सिमी,खडेरी सहन सक्ने,वैशाख-साउन
उच्च पहाड,Proso Millet,चिनो,परम्परागत,दुधे चिनो,२५x१०,५०० ग्राम,छैन,सिमान्त भूमिको उपयोग,वैशाख-साउन
उच्च पहाड,Finger Millet,कोदो,परम्परागत,"ओख्ले १, डल्ले १, काब्रे १",२०x१०,५०० ग्राम,"मकै, सिमी",कम सिँचाइ आवश्यक,वैशाख-साउन
उच्च पहाड,Barley,उवा,परम्परागत,सोलु उवा,२०x५,१.५ केजी,छैन,चिसो सहन सक्ने,कात्तिक-चैत
उच्च पहाड,Buckwheat,फापर,परम्परागत,"मिठे १, तिते १ र २",२५x५,३.५ केजी,छैन,छिटो बढ्ने,जेठ-साउन / कात्तिक-माघ
मध्य पहाड,Cauliflower,काउली,अगेती,"सिल्भर कप ६०, नेपा ६०, एनएस ६०",४५x४५,३० ग्राम,"धनियाँ, सिमी","पहेंलो टाँसिने/डीबीएम पासो",चैत-वैशाख
मध्य पहाड,Cauliflower,काउली,मौसमी,"प्रो क्राउन, काठमाडौं स्थानीय",६०x४५,२० ग्राम,"धनियाँ, सिमी",फोहोरमैला पानी सिँचाइ,असार-असोज
मध्य पहाड,Cauliflower,काउली,पछौटे,"एनएस ९०, एनएस १०६, माधुरी",६०x४५,१५ ग्राम,"धनियाँ, सिमी",आईपीएम (IPM) विधि,असोज-पुस
मध्य पहाड,Cabbage,बन्दा,अगेती,"सुपर कोरोनेट, कोपेनहेगन मार्केट",६०x४५,२५ ग्राम,"धनियाँ, सिमी",उचित दूरी,चैत-वैशाख
मध्य पहाड,Cabbage,बन्दा,मौसमी,"ग्रीन कोरोनेट, टी-६२१, जेनिथ",६०x४५,२५ ग्राम,"धनियाँ, सिमी",आईपीएम विधि,असार-असोज
