Crop (Nepali),Crop (English),Varieties,Spacing (cm),Seed Rate per Ropani,Suitable Intercrop,Crop Rotation Cycle,Crop Characteristics,Climate Adaptation Techniques
काउली,Cauliflower,"Kathmandu Local, Khumal Chapu, Dolpa Global 16",60 × 45,30 gm or 1800 seedlings,"Coriander, Garlic",Rotate with cole crops every 3 years,"Disease and pest resistant, locally adapted varieties","Use waste water irrigation, IPM methods, water traps for DBM control"
बन्दकोपी,Cabbage,"Super Green, Green Coronet, Zenith, Green Top, T 621",60 × 45,25 gm or 2500 seedlings,"Coriander, Garlic",Rotate with cole crops every 3 years,Disease resistant varieties,"Use IPM methods, proper spacing"
ब्रोकाउली,Broccoli,"Everest Green, Premium Crop, Green Pea",60 × 45,10 gm,"Coriander, Garlic",Rotate with cole crops every 3 years,Suitable for high hills,"Temperature management, proper spacing"
गोलभेडा,Tomato,"Plastic house: Srijana, Gaurav 555, Dalila, Seres; Open: Srijana, Gaurav 555, Dalila, Surya 111, NCL 1",75 × 45,5-7 gm,"Pea, Coriander, Garlic",Rotate with cole crops and cereals every 2-3 years,"Wilting disease resistant, water tolerant, longer storage period, locally adapted","Plastic house for off-season, drip irrigation, traps for pests (Tuta, fruit borer)"
काक्रो,Cucumber,"Bhaktapur Local, Dynasty, Malini, Kute",75 × 75 (Bhaktapur Local 150 × 100),125 gm or 500 seedlings (Bhaktapur Local 150 seedlings),"Garlic, Onion, Coriander",Rotate with cole crops every 3 years,"Local variety, climate adapted","Tunnel method for off-season, drip irrigation, mulching, traps for fruit fly and red pumpkin beetle"
करेला,Bitter Gourd,"Palee, NS 454, Hira, Maya",150 × 100,100 gm or 125 seedlings,"Garlic, Onion, Coriander",Rotate with cole crops every 3 years,Suitable for warm climate,Use cow urine for aphid control
सिमी,Bean,"Chaumase, LB 37, Long Green Bean, Mushhar, Khairo Bhusimi, Rajma",120 × 50,500 gm,"Pea, Maize",Rotate with legumes and cole crops every 3 years,"Wilting resistant, water tolerant, locally adapted","Pest control for virus diseases, net use in nursery"
भेडे खुर्सानी,Capsicum/Bell Pepper,"California Wonder, NS 632",60 × 45,30 gm or 2000 seedlings,Coriander,Rotate with cole crops and potato every 2-3 years,Disease resistant,"IPM methods, net use in nursery"
रायो साग,Mustard Greens,"Khumal Chaudapat, Marfa Chaudapat, Manakamana Rayo, Khumal Ratopat",45 × 30,10 gm,"Coriander, Garlic",Rotate with cole crops every 3 years,Fast growing leafy vegetable,Succession planting
भिन्डी,Okra/Lady's Finger,"Arka Anamika, Parbati",50 × 30,750 gm,"Maize, Cowpea",Rotate with cole crops and legumes every 3 years,Heat tolerant,Traps for cotton aphid and fruit borer
