Crop,Variety,Compost_kg_ropani,N_kg_ropani,P_kg_ropani,K_kg_ropani,Plant_Spacing_cm,Row_Spacing_cm,Seed_Seedling_Rate,Maturity_Days,Yield_kg_ropani,Remarks
Potato,Kufri Jyoti,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Mid-hill high production
Potato,Janak Dev,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,High altitude variety
Potato,Khumbu,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,
Potato,IPY,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Tolerant to late blight
Potato,Cardinal,1000,10.0,12.0,8.0,20,60,100 kg,90–100,2000–2500,Early ripening; red skin
Sweet Potato,Local,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,
Sweet Potato,H-41,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,High production; orange flesh
Yam,Local,2000,0.0,0.0,0.0,60,100,120 kg,Not Specified,1500–2000,Use seed tubers
Taro,Local,2000,0.0,0.0,0.0,45,60,200 kg,Not Specified,1500–2000,Use seed tubers
Elephant Foot Yam,Local,2000,0.0,0.0,0.0,60,100,100 kg,Not Specified,2000–3000,Use seed tubers
Turmeric,Local,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,Use seed rhizomes
Turmeric,Bandi,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,
Ginger,Local,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,Use seed rhizomes
Ginger,Bandi,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,
Carrot,Pusa Kesar,1000,3.0,4.0,3.0,10,30,40 g,Not Specified,Not Specified,
Carrot,Nantes,1000,3.0,4.0,3.0,10,30,40 g,Not Specified,Not Specified,
Radish,Kathmandu Local,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,
Radish,All Season,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,
Radish,Forty Day,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,
Cabbage,Green Coronet,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),70–80,Not Specified,
Cabbage,Copenhagen,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),70–80,Not Specified,
Cabbage,NS 43,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),60–70,Not Specified,
Cauliflower,Snow King,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,
Cauliflower,Patna Snow Ball,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,
Broccoli,Green Sprouting,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,
Garlic,Local,1500,12.0,12.0,4.0,15,15,2500 g,Not Specified,Not Specified,
Bottle Gourd,NS 421/Kaveri/NS 443,1500,2.0,1.0,1.0,200,200,100 g (125 seedlings),Not Specified,Not Specified,
Turnip,Purple Top,1000,4.0,6.0,3.0,10,30,100 g,Not Specified,Not Specified,
Turnip,Fuyunasho,1000,4.0,6.0,3.0,10,30,100 g,Not Specified,Not Specified,
Turnip,Kathmandu Red,1000,4.0,6.0,3.0,20,30,30 g,Not Specified,Not Specified,
French Bean,Khrishuli,600,4.0,6.0,3.0,50,120,500–1000 g,Not Specified,Not Specified,
Pole Bean,Local,600,4.0,6.0,3.0,30,120,2000 g,Not Specified,Not Specified,
Brown French Bean,Local,600,4.0,6.0,3.0,50,120,500–1000 g,Not Specified,Not Specified,
Cardamom,Ramshahi,2000–2500,5.0,3.0,3.0,120–150,120–150,3 seedlings/pit,3 years to harvest,30–40,3 seedlings per pit
Cardamom,Golshahi,2000–2500,5.0,3.0,3.0,120–150,120–150,3 seedlings/pit,3 years to harvest,30–40,3 seedlings per pit
